Subcomponent ID	Famliy Name	Gene NAME	Component ID	ORF type(Based on Predicted protein)	Predicted protein length	"E-value(Overall,hmmsearch)"	"E-value(Best domain,hmmsearch)"	"Query Coverage(BLASTP, Trinotate, %)"	"Target ID(BLASTX,Trinotate)"	"Identity(BLASTX,Trinotate)"	"Query coordinates(BALSTX, Trinotate)"	"Target coordinates(BALSTP, Trinotate)"	"E-value(BLASTX, Trinotate)"	"Traget Length(BLASTX, Trinotate)"	"Full Name(BLASTX, Trinotate)"	"Target ID(BLASTP,Trinotate)"	"Identity(BLASTP,Trinotate)"	"Query coordinates(BALSTP, Trinotate)"	"Target coordinates(BALSTP, Trinotate)_2"	"E-value(BLASTP, Trinotate)"	"Traget Length(BLASTP, Trinotate)"	"Target Coverage(BLASTP, Trinotate,%)"	"Full Name(BLASTP, Trinotate)"	"Best Domain ID(PFAM, Trinotate)"	"Best Domain Name(PFAM,Trinoate)"	"E-value(Pfam,Trinotate)"
TRINITY_DN208835_c1_g2_i1	Pelle_Toll	Serine/threonine-protein kinase pelle	TRINITY_DN208835_c1_g2	complete	798	1.30E-192	1.60E-192	37.343	KPEL_DROME	0.46642	945-1724	189-454	5.65E-65	501	Serine/threonine-protein kinase pelle	KPEL_DROME	0.44373	257-554	189-496	2.91E-69	501	61.477	Serine/threonine-protein kinase pelle	PF00069.22	Protein kinase domain	1.20E-41
TRINITY_DN199413_c3_g1_i2	Pellino-Toll	Protein pellino	TRINITY_DN199413_c3_g1	5prime_partial	455	1.10E-180	1.20E-180	95.385	PELI_DROME	0.76498	62-1363	1-424	0	424	Protein pellino	PELI_DROME	0.76498	21-454	1-424	0	424	100	Protein pellino	PF04710.11	Pellino	1.80E-213
TRINITY_DN201679_c0_g1_i2	PepC54_ATG	Cysteine protease ATG4B	TRINITY_DN201679_c0_g1	complete	373	2.20E-184	2.50E-184	94.638	ATG4B_DANRE	0.50868	1767-655	1-392	5.54E-120	394	Cysteine protease ATG4B	ATG4B_DANRE	0.52208	19-371	17-392	2.13E-130	394	95.431	Cysteine protease ATG4B	PF03416.16	Peptidase family C54	4.90E-95
TRINITY_DN265153_c0_g1_i1	PGRPs	Peptidoglycan recognition protein	TRINITY_DN265153_c0_g1	5prime_partial	204	7.60E-48	9.40E-48	83.333	PGRP_BOMMO	0.37356	77-586	27-191	1.24E-31	196	Peptidoglycan recognition protein	PGRP_BOMMO	0.37356	26-195	27-191	2.94E-32	196	84.184	Peptidoglycan recognition protein	PF01510.22	N-acetylmuramoyl-L-alanine amidase	0.00000017
TRINITY_DN265153_c0_g2_i1	PGRPs	Peptidoglycan recognition protein	TRINITY_DN265153_c0_g2	complete	263	1.30E-47	1.40E-47	64.639	PGRP_BOMMO	0.37356	350-859	27-191	9.29E-31	196	Peptidoglycan recognition protein	PGRP_BOMMO	0.37356	85-254	27-191	1.14E-31	196	84.184	Peptidoglycan recognition protein	PF01510.22	N-acetylmuramoyl-L-alanine amidase	0.00000033
TRINITY_DN212813_c2_g3_i4	PGRPs	Peptidoglycan recognition protein 1	TRINITY_DN212813_c2_g3	5prime_partial	289	7.60E-65	8.30E-65	55.709	PGRP1_CAMDR	0.41975	370-852	31-191	3.81E-41	193	Peptidoglycan recognition protein 1	PGRP1_CAMDR	0.41975	124-284	31-191	2.33E-44	193	83.42	Peptidoglycan recognition protein 1	PF01510.22	N-acetylmuramoyl-L-alanine amidase	6.70E-11
TRINITY_DN183258_c0_g2_i3	PGRPs	Peptidoglycan recognition protein 3	TRINITY_DN183258_c0_g2	complete	257	1.40E-50	1.50E-50	63.035	PGRP3_HUMAN	0.40123	720-235	182-341	4.48E-35	341	Peptidoglycan recognition protein 3	PGRP3_HUMAN	0.40123	75-236	182-341	2.78E-36	341	46.921	Peptidoglycan recognition protein 3	PF01510.22	N-acetylmuramoyl-L-alanine amidase	0.00000022
TRINITY_DN208828_c7_g1_i1	PGRPs	Peptidoglycan recognition protein 3	TRINITY_DN208828_c7_g1	5prime_partial	386	1.20E-128	2.60E-63	87.824	PGRP3_MOUSE	0.35103	123-1139	28-346	7.55E-61	347	Peptidoglycan recognition protein 3	PGRP3_MOUSE	0.35103	41-379	28-346	2.19E-62	347	91.931	Peptidoglycan recognition protein 3	PF01510.22	N-acetylmuramoyl-L-alanine amidase	3.40E-18
TRINITY_DN206875_c0_g1_i1	PGRPs	Peptidoglycan-recognition protein 2	TRINITY_DN206875_c0_g1	5prime_partial	205	5.70E-64	6.40E-64	92.683	PGRP2_HOLDI	0.44737	45-614	1-187	1.12E-55	187	Peptidoglycan-recognition protein 2	PGRP2_HOLDI	0.44737	15-204	1-187	1.13E-58	187	100	Peptidoglycan-recognition protein 2	PF01510.22	N-acetylmuramoyl-L-alanine amidase	1.60E-13
TRINITY_DN204473_c0_g1_i1	PGRPs	Peptidoglycan-recognition protein LB	TRINITY_DN204473_c0_g1	complete	222	4.40E-63	5.60E-63	85.586	PGPLB_DROME	0.46386	975-478	31-193	1.87E-48	232	Peptidoglycan-recognition protein LB	PGPLB_DROME	0.41753	30-219	31-221	1.44E-51	232	82.328	Peptidoglycan-recognition protein LB	PF01510.22	N-acetylmuramoyl-L-alanine amidase	7.00E-17
TRINITY_DN211097_c8_g1_i1	PGRPs	Peptidoglycan-recognition protein LB	TRINITY_DN211097_c8_g1	5prime_partial	262	2.40E-63	2.80E-63	64.504	PGPLB_DROME	0.52663	206-712	32-199	4.32E-60	232	Peptidoglycan-recognition protein LB	PGPLB_DROME	0.52663	69-237	32-199	6.22E-65	232	72.414	Peptidoglycan-recognition protein LB	PF01510.22	N-acetylmuramoyl-L-alanine amidase	1.10E-15
TRINITY_DN206097_c5_g1_i2	PGRPs	Peptidoglycan-recognition protein LF	TRINITY_DN206097_c5_g1	complete	256	1.30E-64	1.40E-64	66.016	PGPLF_DROME	0.46154	2125-1619	53-221	1.43E-37	369	Peptidoglycan-recognition protein LF	PGPLF_DROME	0.46154	85-253	53-221	2.24E-51	369	45.799	Peptidoglycan-recognition protein LF	PF01510.22	N-acetylmuramoyl-L-alanine amidase	6.00E-10
TRINITY_DN208425_c4_g1_i1	PGRPs	Peptidoglycan-recognition protein LF	TRINITY_DN208425_c4_g1	complete	246	1.40E-55	1.40E-55	81.707	PGPLF_DROME	0.4012	286-783	57-223	1.48E-40	369	Peptidoglycan-recognition protein LF	PGPLF_DROME	0.36453	45-245	27-223	3.96E-42	369	53.388	Peptidoglycan-recognition protein LF	PF01510.22	N-acetylmuramoyl-L-alanine amidase	0.0000006
TRINITY_DN172177_c0_g1_i1	PGRPs	Peptidoglycan-recognition protein SB1	TRINITY_DN172177_c0_g1	5prime_partial	171	3.00E-65	3.40E-65	94.737	PGSB1_DROME	0.50617	581-96	27-188	9.04E-59	190	Peptidoglycan-recognition protein SB1	PGSB1_DROME	0.50617	2-163	27-188	6.37E-60	190	85.263	Peptidoglycan-recognition protein SB1	PF01510.22	N-acetylmuramoyl-L-alanine amidase	1.20E-20
TRINITY_DN212786_c6_g2_i3	PGRPs	Peptidoglycan-recognition protein SB1	TRINITY_DN212786_c6_g2	complete	140	3.40E-50	3.80E-50	89.286	PGSB1_DROME	0.46377	939-538	51-188	8.06E-37	190	Peptidoglycan-recognition protein SB1	PGSB1_DROME	0.46457	3-127	62-188	9.18E-39	190	66.842	Peptidoglycan-recognition protein SB1	PF01510.22	N-acetylmuramoyl-L-alanine amidase	1.40E-09
TRINITY_DN206082_c6_g1_i2	PGRPs	Peptidoglycan-recognition protein SC2	TRINITY_DN206082_c6_g1	5prime_partial	292	2.30E-48	2.50E-48	56.507	PGSC2_DROME	0.43114	364-858	20-184	6.07E-35	184	Peptidoglycan-recognition protein SC2	PGSC2_DROME	0.43114	122-286	20-184	2.67E-36	184	89.674	Peptidoglycan-recognition protein SC2	PF01510.22	N-acetylmuramoyl-L-alanine amidase	2.60E-10
TRINITY_DN209777_c13_g2_i1	PGRPs	Peptidoglycan-recognition protein SC2	TRINITY_DN209777_c13_g2	complete	205	1.00E-61	1.20E-61	89.268	PGSC2_DROSI	0.45902	96-644	6-184	3.32E-50	184	Peptidoglycan-recognition protein SC2	PGSC2_DROSI	0.45902	8-190	6-184	6.95E-53	184	97.283	Peptidoglycan-recognition protein SC2	PF01510.22	N-acetylmuramoyl-L-alanine amidase	2.60E-17
TRINITY_DN204133_c0_g1_i2	PGRPs	Peptidoglycan-recognition protein SD	TRINITY_DN204133_c0_g1	5prime_partial	314	4.80E-64	5.00E-64	51.911	PGPSD_DROME	0.47853	434-922	22-184	1.87E-44	186	Peptidoglycan-recognition protein SD	PGPSD_DROME	0.47853	145-307	22-184	1.55E-51	186	87.634	Peptidoglycan-recognition protein SD	PF01510.22	N-acetylmuramoyl-L-alanine amidase	2.70E-13
TRINITY_DN181389_c2_g1_i1	PPOs	Hemocyanin A chain	TRINITY_DN181389_c2_g1	3prime_partial	184	6.00E-41	6.80E-41	99.457	HCYA_PANIN	0.46237	3-551	363-548	2.29E-52	657	Hemocyanin A chain	HCYA_PANIN	0.46237	1-183	363-548	2.06E-52	657	28.311	Hemocyanin A chain	PF03723.11	"Hemocyanin, ig-like domain"	1.40E-48
TRINITY_DN214369_c3_g1_i3	PPOs	Phenoloxidase 2	TRINITY_DN214369_c3_g1	complete	695	0	0	97.554	PPO2_DROME	0.57794	3348-1315	2-680	0	684	Phenoloxidase 2	PPO2_DROME	0.57794	5-682	2-680	0	684	99.269	Phenoloxidase 2	PF03723.11	"Hemocyanin, ig-like domain"	1.50E-82
TRINITY_DN212806_c6_g1_i2	RELs_Toll	Nuclear factor NF-kappa-B p110 subunit	TRINITY_DN212806_c6_g1	complete	957	3.50E-171	3.90E-169	33.438	NFKB1_DROME	0.54348	2738-1779	149-459	3.64E-91	971	Nuclear factor NF-kappa-B p110 subunit	NFKB1_DROME	0.54348	80-399	149-459	9.84E-99	971	32.029	Nuclear factor NF-kappa-B p110 subunit	PF00554.19	Rel homology DNA-binding domain	4.80E-44
TRINITY_DN201036_c0_g1_i3	SCRBs	Protein croquemort-1	TRINITY_DN201036_c0_g1	complete	477	4.10E-100	5.20E-100	92.034	CRQ_DROME	0.29345	1541-225	10-447	3.78E-77	491	Protein croquemort	CRQ_DROME	0.29345	2-440	10-447	4.30E-79	491	89.206	Protein croquemort	PF01130.18	CD36 family	7.30E-133
TRINITY_DN204974_c10_g3_i3	SCRBs	Protein croquemort-2	TRINITY_DN204974_c10_g3	complete	518	1.60E-107	2.00E-107	84.17	CRQ_DROME	0.33254	364-1605	33-449	5.92E-86	491	Protein croquemort	CRQ_DROME	0.32955	3-438	11-449	9.94E-97	491	89.409	Protein croquemort	PF01130.18	CD36 family	6.40E-144
TRINITY_DN208844_c0_g1_i2	SCRBs	Protein croquemort-3	TRINITY_DN208844_c0_g1	complete	520	1.30E-114	1.70E-114	83.846	CRQ_DROME	0.36062	429-1772	5-455	9.34E-106	491	Protein croquemort	CRQ_DROME	0.36591	10-445	18-456	6.81E-109	491	89.409	Protein croquemort	PF01130.18	CD36 family	6.00E-154
TRINITY_DN209233_c5_g1_i1	SCRBs	Protein croquemort-4	TRINITY_DN209233_c5_g1	internal	286	1.50E-61	1.70E-61	99.301	CRQ_DROME	0.30208	4-855	88-374	9.94E-43	491	Protein croquemort	CRQ_DROME	0.30208	2-285	88-374	8.94E-43	491	58.452	Protein croquemort	PF01130.18	CD36 family	1.40E-76
TRINITY_DN209233_c8_g1_i2	SCRBs	Protein croquemort-5	TRINITY_DN209233_c8_g1	complete	528	6.30E-97	8.90E-97	81.25	CRQ_DROME	0.30861	1958-717	33-448	4.76E-66	491	Protein croquemort	CRQ_DROME	0.30485	10-438	18-448	9.75E-76	491	87.78	Protein croquemort	PF01130.18	CD36 family	2.00E-129
TRINITY_DN209425_c4_g1_i1	SCRBs	Protein croquemort-6	TRINITY_DN209425_c4_g1	complete	534	2.70E-103	3.60E-103	79.775	CRQ_DROME	0.3577	302-1441	57-438	4.03E-82	491	Protein croquemort	CRQ_DROME	0.35198	4-429	11-438	2.81E-94	491	87.169	Protein croquemort	PF01130.18	CD36 family	8.50E-141
TRINITY_DN209511_c5_g1_i2	SCRBs	Protein croquemort-7	TRINITY_DN209511_c5_g1	complete	515	7.90E-102	1.00E-101	85.437	CRQ_DROME	0.38333	245-1498	33-438	1.14E-100	491	Protein croquemort	CRQ_DROME	0.38009	8-447	11-438	3.19E-113	491	87.169	Protein croquemort	PF01130.18	CD36 family	1.20E-135
TRINITY_DN122913_c2_g1_i1	SCRBs	Scavenger receptor class B member 1-1	TRINITY_DN122913_c2_g1	internal	111	6.90E-31	7.60E-31	93.694	SCRB1_CRIGR	0.40385	312-1	247-348	2.88E-20	509	Scavenger receptor class B member 1	SCRB1_CRIGR	0.40385	7-110	247-348	2.59E-20	509	20.039	Scavenger receptor class B member 1	PF01130.18	CD36 family	1.80E-33
TRINITY_DN204157_c1_g1_i1	SCRBs	Scavenger receptor class B member 1-2	TRINITY_DN204157_c1_g1	internal	436	1.50E-94	1.80E-94	85.092	SCRB1_RAT	0.28912	1248-136	52-417	4.11E-52	509	Scavenger receptor class B member 1	SCRB1_RAT	0.28912	20-390	52-417	2.09E-52	509	71.906	Scavenger receptor class B member 1	PF01130.18	CD36 family	6.60E-107
TRINITY_DN205230_c2_g1_i1	SCRBs	Scavenger receptor class B member 1-3	TRINITY_DN205230_c2_g1	complete	575	2.90E-119	4.10E-119	72.696	SCRB1_PIG	0.3119	2193-940	52-464	1.27E-66	509	Scavenger receptor class B member 1	SCRB1_PIG	0.3119	50-467	52-464	1.29E-68	509	81.139	Scavenger receptor class B member 1	PF01130.18	CD36 family	3.50E-124
TRINITY_DN206915_c7_g1_i1	SCRBs	Scavenger receptor class B member 1-4	TRINITY_DN206915_c7_g1	complete	545	2.30E-116	2.80E-116	84.954	SCRB1_PIG	0.34267	160-1548	16-469	2.60E-89	509	Scavenger receptor class B member 1	SCRB1_PIG	0.34267	24-486	16-469	1.30E-91	509	89.194	Scavenger receptor class B member 1	PF01130.18	CD36 family	5.90E-152
TRINITY_DN211612_c0_g1_i2	SCRBs	Scavenger receptor class B member 1-5	TRINITY_DN211612_c0_g1	complete	570	4.80E-121	5.60E-121	68.07	SCRB1_MOUSE	0.34961	2841-1678	40-421	3.30E-69	509	Scavenger receptor class B member 1	SCRB1_MOUSE	0.34961	78-465	40-421	3.75E-73	509	75.049	Scavenger receptor class B member 1	PF01130.18	CD36 family	1.40E-135
TRINITY_DN212784_c3_g1_i1	SCRBs	Scavenger receptor class B member 1-6	TRINITY_DN212784_c3_g1	5prime_partial	539	1.40E-112	1.60E-112	80.148	SCRB1_BOVIN	0.33882	248-1513	36-447	1.30E-71	509	Scavenger receptor class B member 1	SCRB1_BOVIN	0.33333	73-504	26-447	2.66E-75	509	82.908	Scavenger receptor class B member 1	PF01130.18	CD36 family	2.00E-135
TRINITY_DN206998_c9_g1_i2	SCRBs	Sensory neuron membrane protein 1-1	TRINITY_DN206998_c9_g1	5prime_partial	544	5.30E-97	6.40E-97	87.316	SNMP1_APIME	0.43908	2183-759	4-479	2.98E-147	520	Sensory neuron membrane protein 1 {ECO:0000303|PubMed:18342246}	SNMP1_APIME	0.43908	39-513	4-479	1.54E-153	520	91.538	Sensory neuron membrane protein 1 {ECO:0000303|PubMed:18342246}	PF01130.18	CD36 family	1.30E-125
TRINITY_DN212608_c7_g1_i7	SCRBs	Sensory neuron membrane protein 1-2	TRINITY_DN212608_c7_g1	5prime_partial	524	8.80E-97	1.10E-96	92.748	SNMP1_APIME	0.44444	2899-1505	24-491	2.47E-141	520	Sensory neuron membrane protein 1 {ECO:0000303|PubMed:18342246}	SNMP1_APIME	0.43558	20-505	3-491	2.23E-149	520	94.038	Sensory neuron membrane protein 1 {ECO:0000303|PubMed:18342246}	PF01130.18	CD36 family	4.00E-130
TRINITY_DN146135_c0_g1_i1	SCRCs	MAM and LDL-receptor class A domain-containing protein 2-1	TRINITY_DN146135_c0_g1	5prime_partial	420	3.80E-43	1.50E-17	97.143	MLRP2_ACRMI	0.30612	3-1226	653-1048	8.52E-42	7311	MAM and LDL-receptor class A domain-containing protein 2	MLRP2_ACRMI	0.30612	1-408	653-1048	1.35E-42	7311	5.416	MAM and LDL-receptor class A domain-containing protein 2	PF00629.20	"MAM domain, meprin/A5/mu"	1.40E-28
TRINITY_DN194647_c0_g1_i1	SCRCs	MAM and LDL-receptor class A domain-containing protein 2(SCRC)	TRINITY_DN194647_c0_g1	5prime_partial	780	2.60E-124	3.20E-124	21.41	MLRP2_ACRMI	0.45763	2316-1789	5116-5278	4.68E-32	7311	MAM and LDL-receptor class A domain-containing protein 2	MLRP2_ACRMI	0.47619	149-315	5125-5278	4.78E-33	7311	2.106	MAM and LDL-receptor class A domain-containing protein 2	PF00629.20	"MAM domain, meprin/A5/mu"	2.00E-43
TRINITY_DN168267_c0_g1_i2	SPZs_Toll	Protein spaetzle-1	TRINITY_DN168267_c0_g1	5prime_partial	311	8.80E-29	1.10E-28	63.023	SPZ_DROME	0.22275	1587-1000	134-323	0.000000354	326	Protein spaetzle	SPZ_DROME	0.22275	110-305	134-323	9.46E-08	326	58.282	Protein spaetzle	PF16077.2	Spaetzle	1.90E-27
TRINITY_DN171056_c0_g1_i2	SPZs_Toll	Protein spaetzle-2	TRINITY_DN171056_c0_g1	complete	215	8.70E-25	2.30E-24	43.721	SPZ_DROME	0.36082	485-204	229-324	1.43E-12	326	Protein spaetzle	SPZ_DROME	0.36082	116-209	229-324	2.48E-13	326	29.448	Protein spaetzle	PF16077.2	Spaetzle	6.40E-27
TRINITY_DN192862_c1_g1_i1	SPZs_Toll	Protein spaetzle-3	TRINITY_DN192862_c1_g1	complete	200	1.90E-20	1.90E-20	80.5	SPZ_DROME	0.31288	729-247	174-323	5.25E-17	326	Protein spaetzle	SPZ_DROME	0.31288	33-193	174-323	1.75E-18	326	46.012	Protein spaetzle	PF16077.2	Spaetzle	5.20E-25
TRINITY_DN194130_c4_g1_i1	SPZs_Toll	Protein spaetzle-4	TRINITY_DN194130_c4_g1	internal	136	8.80E-11	1.00E-10	74.265	SPZ_DROME	0.24752	318-16	183-268	0.000577	326	Protein spaetzle	SPZ_DROME	0.24752	30-130	183-268	0.000519	326	26.38	Protein spaetzle	PF16077.2	Spaetzle	6.00E-11
TRINITY_DN196312_c4_g1_i1	SPZs_Toll	Protein spaetzle-5	TRINITY_DN196312_c4_g1	complete	249	9.10E-28	1.60E-27	56.225	SPZ_DROME	0.37415	339-758	182-323	9.63E-22	326	Protein spaetzle	SPZ_DROME	0.37415	79-218	182-323	2.01E-23	326	43.558	Protein spaetzle	PF16077.2	Spaetzle	6.10E-30
TRINITY_DN207008_c0_g1_i2	SPZs_Toll	Protein spaetzle-6	TRINITY_DN207008_c0_g1	complete	207	1.40E-25	1.40E-25	71.498	SPZ_DROME	0.3245	543-100	183-323	1.66E-14	326	Protein spaetzle	SPZ_DROME	0.3245	54-201	183-323	2.48E-15	326	43.252	Protein spaetzle	PF16077.2	Spaetzle	5.00E-29
TRINITY_DN27141_c0_g1_i1	SPZs_Toll	Protein spaetzle-7	TRINITY_DN27141_c0_g1	5prime_partial	197	3.00E-23	4.60E-23	71.066	SPZ_DROME	0.33333	142-561	183-321	5.79E-12	326	Protein spaetzle	SPZ_DROME	0.33333	48-187	183-321	2.47E-12	326	42.638	Protein spaetzle	PF16077.2	Spaetzle	1.40E-24
TRINITY_DN212647_c8_g1_i1	SRPNs	Alaserpin	TRINITY_DN212647_c8_g1	5prime_partial	418	2.00E-25	2.50E-25	93.301	SERA_MANSE	0.34174	197-1237	44-387	3.28E-46	392	Alaserpin	SERA_MANSE	0.3225	23-412	2-387	5.91E-50	392	98.469	Alaserpin	PF00079.17	Serpin (serine protease inhibitor)	1.40E-97
TRINITY_DN170074_c0_g1_i1	SRPNs	Leukocyte elastase inhibitor-1	TRINITY_DN170074_c0_g1	5prime_partial	401	1.60E-33	2.40E-33	90.274	ILEU_BOVIN	0.34584	1632-547	7-377	7.02E-60	377	Leukocyte elastase inhibitor	ILEU_BOVIN	0.34584	39-400	7-377	2.23E-68	377	98.408	Leukocyte elastase inhibitor	PF00079.17	Serpin (serine protease inhibitor)	9.30E-106
TRINITY_DN206893_c3_g3_i1	SRPNs	Leukocyte elastase inhibitor-2	TRINITY_DN206893_c3_g3	5prime_partial	450	8.00E-28	1.10E-27	81.778	ILEU_XENTR	0.32021	1448-345	7-377	5.54E-34	377	Leukocyte elastase inhibitor	ILEU_XENTR	0.32021	79-446	7-377	1.67E-40	377	98.408	Leukocyte elastase inhibitor	PF00079.17	Serpin (serine protease inhibitor)	3.30E-74
TRINITY_DN208688_c6_g1_i5	SRPNs	Leukocyte elastase inhibitor-3	TRINITY_DN208688_c6_g1	complete	401	3.80E-30	4.80E-30	93.267	ILEU_BOVIN	0.32723	1606-485	3-377	1.07E-50	377	Leukocyte elastase inhibitor	ILEU_BOVIN	0.32723	27-400	3-377	1.09E-52	377	99.469	Leukocyte elastase inhibitor	PF00079.17	Serpin (serine protease inhibitor)	3.60E-98
TRINITY_DN210154_c3_g1_i1	SRPNs	Leukocyte elastase inhibitor-4	TRINITY_DN210154_c3_g1	complete	440	2.00E-22	5.50E-22	86.818	Y2678_METMA	0.24103	377-1501	56-420	3.09E-17	426	Uncharacterized serpin-like protein MM_2675	ILEU_BOVIN	0.23797	45-426	4-377	1.21E-18	377	99.204	Leukocyte elastase inhibitor	PF00079.17	Serpin (serine protease inhibitor)	3.40E-52
TRINITY_DN211522_c5_g1_i1	SRPNs	Leukocyte elastase inhibitor-5	TRINITY_DN211522_c5_g1	complete	570	2.00E-33	2.50E-33	55.789	ILEU_BOVIN	0.33127	462-1415	10-309	4.92E-39	377	Leukocyte elastase inhibitor	ILEU_BOVIN	0.33127	97-414	10-309	6.46E-40	377	79.576	Leukocyte elastase inhibitor	PF00079.17	Serpin (serine protease inhibitor)	2.60E-91
TRINITY_DN204925_c0_g1_i1	SRPNs	Leukocyte elastase inhibitor B	TRINITY_DN204925_c0_g1	5prime_partial	339	1.70E-25	2.30E-25	97.935	ILEUB_MOUSE	0.31378	12-1007	45-382	2.38E-44	382	Leukocyte elastase inhibitor B	ILEUB_MOUSE	0.31378	4-335	45-382	1.53E-46	382	88.482	Leukocyte elastase inhibitor B	PF00079.17	Serpin (serine protease inhibitor)	6.50E-86
TRINITY_DN201407_c0_g2_i1	SRPNs	Leukocyte elastase inhibitor C-1	TRINITY_DN201407_c0_g2	5prime_partial	415	7.50E-25	1.00E-24	90.12	ILEUC_MOUSE	0.28756	1563-442	9-375	3.56E-36	375	Leukocyte elastase inhibitor C	ILEUC_MOUSE	0.28756	38-411	9-375	3.37E-37	375	97.867	Leukocyte elastase inhibitor C	PF00079.17	Serpin (serine protease inhibitor)	7.60E-65
TRINITY_DN206969_c8_g1_i5	SRPNs	Leukocyte elastase inhibitor C-2	TRINITY_DN206969_c8_g1	5prime_partial	404	1.00E-37	1.30E-37	85.644	ILEUC_MOUSE	0.39106	166-1203	26-373	8.35E-79	375	Leukocyte elastase inhibitor C	ILEUC_MOUSE	0.40845	56-401	26-373	8.89E-87	375	92.8	Leukocyte elastase inhibitor C	PF00079.17	Serpin (serine protease inhibitor)	6.30E-123
TRINITY_DN208569_c16_g1_i1	SRPNs	Leukocyte elastase inhibitor C-3	TRINITY_DN208569_c16_g1	5prime_partial	414	3.40E-30	4.10E-30	87.681	ILEU_BOVIN	0.35248	115-1230	2-377	7.76E-63	377	Leukocyte elastase inhibitor	ILEUC_MOUSE	0.34946	48-410	11-375	1.30E-63	375	97.333	Leukocyte elastase inhibitor C	PF00079.17	Serpin (serine protease inhibitor)	1.70E-106
TRINITY_DN196029_c0_g1_i1	SRPNs	Neuroserpin-1	TRINITY_DN196029_c0_g1	complete	404	9.70E-29	1.30E-28	93.564	NEUS_HUMAN	0.30576	1624-461	16-406	3.53E-47	410	Neuroserpin	NEUS_HUMAN	0.30591	24-401	16-397	3.74E-48	410	93.171	Neuroserpin	PF00079.17	Serpin (serine protease inhibitor)	1.10E-87
TRINITY_DN206043_c1_g1_i2	SRPNs	Neuroserpin-2	TRINITY_DN206043_c1_g1	5prime_partial	426	1.90E-21	2.50E-21	90.845	NEUS_RAT	0.24194	2656-1574	28-392	5.04E-27	410	Neuroserpin	NEUS_RAT	0.24623	30-416	9-392	1.35E-28	410	93.659	Neuroserpin	PF00079.17	Serpin (serine protease inhibitor)	2.40E-64
TRINITY_DN207644_c13_g2_i1	SRPNs	Neuroserpin-3	TRINITY_DN207644_c13_g2	complete	618	1.40E-37	2.30E-37	57.605	NEUS_CHICK	0.34054	257-1324	39-399	3.56E-56	410	Neuroserpin	NEUS_CHICK	0.33787	51-406	39-399	2.71E-58	410	88.049	Neuroserpin	PF00079.17	Serpin (serine protease inhibitor)	7.60E-97
TRINITY_DN210179_c0_g1_i2	SRPNs	Serpin B11	TRINITY_DN210179_c0_g1	5prime_partial	441	5.90E-41	7.50E-41	80.499	SPB11_MOUSE	0.3244	232-1296	17-388	7.84E-58	388	Serpin B11	SPB11_MOUSE	0.3244	78-432	17-388	7.67E-60	388	95.876	Serpin B11	PF00079.17	Serpin (serine protease inhibitor)	4.70E-106
TRINITY_DN204212_c0_g2_i1	SRPNs	Serpin B3	TRINITY_DN204212_c0_g2	complete	421	2.70E-34	3.70E-34	87.411	SPB3_HUMAN	0.35	350-1444	11-387	2.15E-56	390	Serpin B3	SPB3_HUMAN	0.35248	51-418	11-390	4.40E-61	390	97.436	Serpin B3	PF00079.17	Serpin (serine protease inhibitor)	1.20E-101
TRINITY_DN201927_c0_g1_i1	SRPNs	Serpin B4-1	TRINITY_DN201927_c0_g1	complete	405	6.70E-33	8.50E-33	91.605	ILEU_XENTR	0.30789	1658-540	2-377	3.46E-50	377	Leukocyte elastase inhibitor	SPB4_HUMAN	0.32051	31-401	4-390	2.05E-55	390	99.231	Serpin B4	PF00079.17	Serpin (serine protease inhibitor)	2.70E-99
TRINITY_DN203015_c0_g1_i1	SRPNs	Serpin B4-2	TRINITY_DN203015_c0_g1	5prime_partial	587	1.20E-22	3.00E-22	46.167	SPB4_HUMAN	0.30403	1567-773	30-299	4.81E-32	390	Serpin B4	SPB4_HUMAN	0.30108	162-432	24-299	2.00E-33	390	70.769	Serpin B4	PF00079.17	Serpin (serine protease inhibitor)	4.80E-80
TRINITY_DN179560_c2_g1_i1	SRPNs	Serpin B8-1	TRINITY_DN179560_c2_g1	internal	197	3.30E-11	3.30E-11	75.635	SPB8_MOUSE	0.2953	572-126	25-168	2.06E-13	374	Serpin B8	SPB8_MOUSE	0.2953	7-155	25-168	1.86E-13	374	38.503	Serpin B8	PF00079.17	Serpin (serine protease inhibitor)	3.50E-18
TRINITY_DN203799_c11_g1_i1	SRPNs	Serpin B8-2	TRINITY_DN203799_c11_g1	5prime_partial	418	3.60E-36	4.40E-36	87.321	SPB8_BOVIN	0.39326	1545-496	23-374	3.17E-77	374	Serpin B8	SPB8_BOVIN	0.3877	52-416	5-374	1.33E-80	374	98.93	Serpin B8	PF00079.17	Serpin (serine protease inhibitor)	6.10E-113
TRINITY_DN206323_c1_g1_i2	SRPNs	Serpin B8-3	TRINITY_DN206323_c1_g1	complete	412	1.40E-33	1.90E-33	91.262	SPB8_BOVIN	0.30709	590-1717	3-374	1.80E-46	374	Serpin B8	SPB8_BOVIN	0.30709	33-408	3-374	1.43E-48	374	99.465	Serpin B8	PF00079.17	Serpin (serine protease inhibitor)	1.20E-93
